station,lat,lon,hp,country,knots,m/s,degrees,direction,datetime
TEDZHEN,3738,6051,186,Turkmenistan,189,97,290,WNW,2025112109
DONGSHA DAO,2067,11672,6,China,35,18,30,NNE,2025112109
SHIP,5040,-30936,,,34,17,190,S,2025112109
SHIP,3930,100,,,40,21,330,NNW,2025112109
SHIP,5920,20770,,,43,22,300,WNW,2025112109
SHIP,5920,20780,,,40,21,300,WNW,2025112109
SHIP,3530,23000,,,40,21,350,N,2025112109
VARFU OMU,4543,2545,2511.4,Romania,39,20,200,SSW,2025112109
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,39,20,160,SSE,2025112109
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,34,17,220,SW,2025112109
BITAM,208,1148,599,Gabon,50,26,20,NNE,2025112109
PENGJIA YU,2563,12207,102,China,37,19,50,NE,2025112109
"SOLANDER ISLAND (AUT), BC",5010,23207,93.6,Canada,35,18,160,SSE,2025112106
SHIP,4270,950,,,35,18,280,W,2025112106
SHIP,2360,12200,,,49,25,20,NNE,2025112106
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,39,20,160,SSE,2025112106
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,44,23,190,S,2025112106
SHIP,4330,530,,,43,22,320,NW,2025112106
SHIP,2060,12730,,,191,98,80,E,2025112106
SHIP,1860,11870,,,34,17,40,NE,2025112106
MOURGASH,4283,2366,1692,Bulgaria,39,20,180,S,2025112106
"CAPE ST JAMES CS, BC",5193,22900,89.4,Canada,36,19,210,SSW,2025112106
VARFU OMU,4543,2545,2511.4,Romania,45,23,190,S,2025112106
SHIP,4320,530,,,41,21,320,NW,2025112106
SHIP,5030,23140,,,38,20,200,SSW,2025112106
PETROPAVLOVSK,5305,15878,65,Russian Federation,48,25,20,NNE,2025112106
SHIP,4210,330,,,43,22,340,NNW,2025112106
"TUKTUT NOGAIT, NWT",6918,23765,0,Canada,38,20,150,SSE,2025112106
DANILOVKA,5036,4411,101.79,Russian Federation,190,98,250,WSW,2025112106
PETROPAVLOVSK,5305,15878,65,Russian Federation,98,50,10,N,2025112103
DONGSHA DAO,2067,11672,6,China,35,18,30,NNE,2025112103
SHIP,5050,23360,,,34,17,90,E,2025112103
SHIP,3660,22770,,,36,19,340,NNW,2025112103
"TUKTUT NOGAIT, NWT",6918,23765,0,Canada,35,18,140,SE,2025112103
SHIP,-3040,31030,,,34,17,40,NE,2025112103
MUSSALA (TOP/SOMMET),4218,2358,2927,Bulgaria,35,18,160,SSE,2025112103
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,44,23,190,S,2025112103
VARFU OMU,4543,2545,2511.4,Romania,37,19,190,S,2025112103
TELA,1571,27252,3,Honduras,40,21,10,N,2025112103
IKERMIIT,6476,31970,80,Greenland,36,19,60,ENE,2025112103
DONGSHA DAO,2067,11672,6,China,37,19,30,NNE,2025112100
SHIP,4080,190,,,37,19,320,NW,2025112100
SHIP,-3870,14180,,,40,21,10,N,2025112100
SAN JUAN AERO,-3156,29159,598,Argentina,38,20,160,SSE,2025112100
MOURGASH,4283,2366,1692,Bulgaria,35,18,180,S,2025112100
SHIP,4300,690,,,41,21,300,WNW,2025112100
SHIP,2140,12180,,,34,17,30,NNE,2025112100
SHIP,1830,10750,,,35,18,50,NE,2025112100
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,35,18,190,S,2025112100
SHIP,2210,12200,,,35,18,30,NNE,2025112100
ZHONGSHAN,-6936,7636,18,Stations operated by China,39,20,110,ESE,2025112100
MITTARFIK KULUSUK,6556,32287,37,Greenland,36,19,80,E,2025112021
SHIP,5630,21200,,,35,18,200,SSW,2025112021
LAN YU,2203,12155,325,China,37,19,30,NNE,2025112021
VISHAKHAPATNAM,1771,8330,3.5,India,59,30,20,NNE,2025112021
SHIP,3340,32400,,,34,17,120,ESE,2025112021
DUMONT D'URVILLE,-6665,14000,43,Antarctica,36,19,130,SE,2025112021
ILIAMNA/ILIAMNA AIRPORT,5975,20509,49,United States of America,53,27,200,SSW,2025112021
"ATLANTIC CITY, NJ.",3945,28544,20,United States of America,77,40,10,N,2025112018
DUMONT D'URVILLE,-6665,14000,43,Antarctica,36,19,140,SE,2025112018
SHIP,2280,28830,,,35,18,40,NE,2025112018
MOURGASH,4283,2366,1692,Bulgaria,39,20,180,S,2025112018
ZHONGSHAN,-6936,7636,18,Stations operated by China,41,21,110,ESE,2025112018
SOPOCHNAYA KARGA,7186,8270,5.3,Russian Federation,35,18,70,ENE,2025112018
DONGSHA DAO,2067,11672,6,China,35,18,30,NNE,2025112018
SHIP,2080,12150,,,43,22,40,NE,2025112018
SHIP,6080,21130,,,37,19,60,ENE,2025112015
SHIP,5590,20660,,,55,28,230,SW,2025112015
SHIP,-2590,4900,,,36,19,190,S,2025112015
SHIP,5560,20740,,,37,19,230,SW,2025112015
SHIP,5280,20500,,,35,18,240,WSW,2025112015
HATANGA,7196,10245,32.8,Russian Federation,66,34,120,ESE,2025112015
PUYSEGUR POINT AWS,-4615,16660,44.3,New Zealand,40,21,340,NNW,2025112012
LAN YU,2203,12155,325,China,47,24,10,N,2025112012
BOMNAK,5471,12886,364.41,Russian Federation,192,99,290,WNW,2025112012
UDGIR,1806,7711,639,India,62,32,20,NNE,2025112012
SHIP,1940,12090,,,45,23,50,NE,2025112012
SHIP,6080,21130,,,37,19,60,ENE,2025112012
"ROCK RIVER, YT",6296,22379,0,Canada,37,19,90,E,2025112012
SHIP,6060,21320,,,35,18,90,E,2025112012
SHIP,5900,20790,,,37,19,110,ESE,2025112012
MOURGASH,4283,2366,1692,Bulgaria,39,20,180,S,2025112012
SHIP,6040,18620,,,35,18,320,NW,2025112012
"SARTINE ISLAND (AUT), BC",5081,23110,111,Canada,37,19,170,S,2025112012
SHIP,5560,20740,,,35,18,220,SW,2025112012
SHIP,5280,20500,,,37,19,230,SW,2025112012
DUMONT D'URVILLE,-6665,14000,43,Antarctica,36,19,130,SE,2025112012
SHIP,6040,18630,,,34,17,320,NW,2025112012
